order_id,order_date,customer,region,product,category,quantity,unit_price
1001,2026-01-03,Aarav Sharma,North,Laptop,Electronics,2,58000
1002,2026-01-05,Diya Patel,West,Office Chair,Furniture,3,7200
1003,2026-01-08,Rohan Mehta,South,Notebook,Stationery,25,80
1004,2026-01-12,,East,Desk,Furniture,1,14200
1005,2026-01-14,Anika Rao,North,Wireless Mouse,Electronics,7,850
1006,2026-01-18,Kabir Khan,West,Monitor,Electronics,2,11800
1007,2026-01-22,Meera Iyer,South,Pen Set,Stationery,,220
1008,2026-01-25,Vivaan Das,East,Laptop,Electronics,1,60000
1008,2026-01-25,Vivaan Das,East,Laptop,Electronics,1,60000
1009,2026-02-02,Sara Thomas,North,Desk,Furniture,2,13900
1010,2026-02-06,Arjun Nair,West,Printer,Electronics,1,
1011,2026-02-09,Isha Singh,South,Notebook,Stationery,40,75
1012,2026-02-12,Dev Verma,East,Office Chair,Furniture,4,6900
1013,2026-02-15,Nisha Bose,North,Monitor,Electronics,3,11500
1014,2026-02-19,Om Kapoor,West,Pen Set,Stationery,28,210
1015,2026-02-24,Tara Jain,South,Laptop,Electronics,1,57500
1016,2026-03-01,Reyansh Roy,East,Desk,Furniture,2,14500
1017,2026-03-04,Zoya Ali,North,Printer,Electronics,2,9200
1018,2026-03-08,Aditya Sen,West,Wireless Mouse,Electronics,10,830
1019,2026-03-13,Kiara Shah,South,Office Chair,Furniture,3,7100
1020,2026-03-16,Neil Dutta,East,Notebook,Stationery,35,85
1021,2026-03-18,Priya Menon,North,Laptop,Electronics,2,59000
1022,2026-03-22,Yash Gupta,West,Monitor,Electronics,1,12000
1023,2026-03-25,Avni Joshi,South,Desk,Furniture,1,14100
1024,2026-04-02,Manav Reddy,East,Pen Set,Stationery,500,215
1025,2026-04-05,Riya Agarwal,North,Printer,Electronics,1,9400
1026,2026-04-08,Krish Bhat,West,Laptop,Electronics,2,58500
1027,2026-04-12,Saanvi Pillai,South,Wireless Mouse,Electronics,9,860
1028,2026-04-15,Ayaan Malhotra,East,Office Chair,Furniture,3,7050
1029,2026-04-19,,North,Notebook,Stationery,45,78
1030,invalid-date,Myra Chawla,West,Desk,Furniture,1,13800

